"Qty","Designator","Value","Datasheet","MPN","Manufacturer","Package"
"1","C1","1000uF","https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-EEEFT1E102UP_C401766.pdf","EEEFT1E102UP","PANASONIC","SMD (10x10.2mm)"
"2","C2, C4","100nF","https://datasheet.lcsc.com/lcsc/1811101933_YAGEO-CC0402KRX7R9BB104_C131394.pdf","CC0402KRX7R9BB104","YAGEO","0402"
"1","C3","10uF","https://datasheet.lcsc.com/szlcsc/1811121310_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf","CL21A106KAYNNNE","Samsung Electro-Mechanics","0805"
"1","C5","22uF","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL21A226MQQNNNF_C307531.pdf","CL21A226MQQNNNF","Samsung Electro-Mechanics","0805"
"2","C6, C7","10uF","https://datasheet.lcsc.com/szlcsc/1912111437_Taiyo-Yuden-LDK105CBJ106MVLF_C386033.pdf","LDK105CBJ106MVLF","Taiyo Yuden","0402"
"1","C8","100nF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","CC0402KRX7R7BB104","Yageo","0402"
"2","D1, D2","1N5819W","https://datasheet.lcsc.com/lcsc/2110200930_TECH-PUBLIC-1N5819W_C2905650.pdf","1N5819W","TECH PUBLIC","SOD-123"
"1","F1","10A","https://eu.mouser.com/datasheet/2/240/Littelfuse_PTC_2920L_Datasheet.pdf-365479.pdf","2920L500/16MR","Littelfuse","2920"
"1","J1","DC-005-5A-2.0","https://datasheet.lcsc.com/szlcsc/1912111437_XKB-Connectivity-DC-005-5A-2-0_C381116.pdf","DC-005-5A-2.0","XKB Connectivity","Through-hole"
"1","J2","TYPE-C-31-M-14","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","TYPE-C-31-M-14","Korean Hroparts Elec","16pin USB C"
"1","L1","2.2uH","https://datasheet.lcsc.com/lcsc/2006111532_Ceaiya-CR4018-2R2M_C520302.pdf","CR4018-2R2M","Ceaiya","4x4x2mm"
"1","MIC1","ICS-43434","https://invensense.tdk.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf","ICS-43434","TDK InvenSense","LGA-6 TDK InvenSense"
"1","Q1","BSS138","https://datasheet.lcsc.com/lcsc/1811121616_onsemi-BSS138_C52895.pdf","BSS138","onsemi","SOT-23"
"1","Q2","WSF90P03","https://datasheet.lcsc.com/lcsc/1809211122_Winsok-Semicon-WSF90P03_C148440.pdf","WSF90P03","Winsok Semicon","TO-252-2"
"3","R1, R3, R13","10k","https://datasheet.lcsc.com/lcsc/1809301715_YAGEO-RC0402FR-0710KL_C60490.pdf","RC0402FR-0710KL","YAGEO","0402"
"1","R2","1k","https://datasheet.lcsc.com/szlcsc/1811132311_Uniroyal-Elec-0402WGF1001TCE_C11702.pdf","0402WGF1001TCE","Uniroyal Elec","0402"
"1","R4","75k","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RT0402BRD0775KL_C728563.pdf","RT0402BRD0775KL","YAGEO","0402"
"1","R5","24k","https://datasheet.lcsc.com/lcsc/2210190401_YAGEO-RT0402BRD0724KL_C852665.pdf","RT0402BRD0724KL","YAGEO","0402"
"2","R6, R7","5.1k","https://datasheet.lcsc.com/szlcsc/1810241326_YAGEO-AC0402FR-075K1L_C144745.pdf","AC0402FR-075K1L","YAGEO","0402"
"2","R8, R9","27R","https://datasheet.lcsc.com/szlcsc/1810241322_YAGEO-RC0402JR-0727RL_C137890.pdf","RC0402JR-0727RL","YAGEO","0402"
"1","RV1","200R","https://datasheet.lcsc.com/lcsc/1810170727_HDK-Hokuriku-Elec-Industry-VG039NCHXTB201_C128548.pdf","VG039NCHXTB201","HDK(Hokuriku Elec Industry)","SMD"
"1","SW1","EVQP7C01P","https://datasheet.lcsc.com/szlcsc/1912111437_PANASONIC-EVQP7C01P_C388883.pdf","EVQP7C01P","Panasonic","SMD"
"1","U1","ESP32-S3-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf","ESP32-S3-MINI-1","Espressif Systems","Module"
"1","U2","SN74AHCT125","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf","SN74AHCT125RGYR","Texas Instruments","RGY (VQFN, 14)"
"1","U3","TPS62160","https://datasheet.lcsc.com/lcsc/1806070425_Texas-Instruments-TPS62162DSGR_C40256.pdf","TPS62160DSG","Texas Instruments","WSON-8 (2x2mm)"
"1","U4","TSOP38238","http://www.vishay.com/docs/82462/tsop581.pdf","TSOP38238","Vishay Semiconductors","Side Looker"
"1","U5","HT7550-7","https://datasheet.lcsc.com/lcsc/1810201512_Holtek-Semicon-HT7550-7_C105221.pdf","HT7550-7","Holtek Semicon","SOT-23-5"
"1","U6","USBLC6-2P6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","USBLC6-2P6","TECH PUBLIC","SOT666"